project_issue_id,project_parent_issue_id,project_estimate,account_type,account_name,repo_name,project_id,project_number,status,milestone,labels,title,body
milestone-m1-infrastructure-ready,,0,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M1 — Infrastructure Ready,milestone,M1 — Infrastructure Ready,"Keycloak running on Docker Compose with PostgreSQL, nginx reverse proxy configured, TLS active on staging and production domains. Health check endpoint responding.

Due: Week 2"
milestone-m2-realm-and-identity-configured,,0,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M2 — Realm & Identity Configured,milestone,M2 — Realm & Identity Configured,"Internal and external realms created. Password policies set. Realm-level roles defined. User profile attributes confirmed. app-provisioner service client created.

Due: Week 3"
milestone-m3-users-migrated,,0,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M3 — Users Migrated,milestone,M3 — Users Migrated,"All existing users bulk-imported into Keycloak with bcrypt hashes. keycloak_id backfilled into all app databases. Zero NULL keycloak_id for active users. Verified on staging first.

Due: Week 3"
milestone-m4-wave-1-apps-integrated,,0,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M4 — Wave 1 Apps Integrated,milestone,M4 — Wave 1 Apps Integrated,"1–2 lowest-risk internal apps integrated with Keycloak SSO. OIDC flow working end-to-end. JWT validation on backend confirmed. Local auth still active in parallel.

Due: Week 4"
milestone-m5-wave-2-apps-integrated,,0,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M5 — Wave 2 Apps Integrated,milestone,M5 — Wave 2 Apps Integrated,"All remaining internal apps integrated. Client roles defined per app. Access control via JWT claims verified for all internal users.

Due: Week 6"
milestone-m6-auth-facade-live,,0,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M6 — Auth Facade Live,milestone,M6 — Auth Facade Live,"Auth facade deployed. Old mobile app versions routing through ROPC bridge to Keycloak. Version gate active. New mobile app using PKCE flow. Both paths verified.

Due: Week 6"
milestone-m7-wave-3-apps-integrated,,0,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M7 — Wave 3 Apps Integrated,milestone,M7 — Wave 3 Apps Integrated,"All customer-facing apps integrated with Keycloak external realm. End-to-end tested with real external users. Mobile new version live in app stores.

Due: Week 8"
milestone-m8-local-auth-decommissioned,,0,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M8 — Local Auth Decommissioned,milestone,M8 — Local Auth Decommissioned,"Local auth disabled on all apps. Password columns removed from app databases. Unused auth dependencies removed from codebases. SSO is the only login method.

Due: Week 12"
milestone-m9-mobile-facade-sunset,,0,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M9 — Mobile Facade Sunset,milestone,M9 — Mobile Facade Sunset,"Auth facade returns 410 Gone for old mobile versions. Deprecation notice shown from month 3–4. Hard cutoff enforced at month 6–9 based on adoption analytics.

Due: Month 9"
task-m1-infrastructure-ready-set-up-staging-server-and-install-docker,milestone-m1-infrastructure-ready,2,organization,Mozhaiq-Dev,kie-sso-migration-script,,6,,M1 — Infrastructure Ready,"task,priority-p0,size-s,role-fullstack",Set up staging server and install Docker,"Provision a VM or server for the staging environment (sso.mozhaiq.dev). Install Docker and Docker Compose. Confirm root/sudo access and open required ports (80 443 8080).

Metadata:
- Priority: P0
- Size: S
- Role: Fullstack
- Milestone: M1 — Infrastructure Ready"
